Nhom,Uu_tien,Ten,Chuyen_ve_Ly_do_phu_hop,Khu_vuc,SDT,Email,Website,Facebook,Nguon,Trang_thai,Ghi_chu
F - Dich vu do an cu,1,PhenikaaMec,"Bệnh viện có gói cơm cữ","Nam Từ Liêm, Hà Nội",1900.2262,,phenikaamec.com,,https://phenikaamec.com/dv-dich-vu-cham-soc-me-va-be-sau-sinh.html,Chưa liên hệ,
F - Dich vu do an cu,1,Home Care (spasausinh.vn),"Trung tâm chăm sóc mẹ&bé, có mâm cơm ở cữ, phục vụ cả tại nhà","Mỹ Đình/Hồ Tùng Mậu, Hà Nội","1900 0387 / 0973 871 376 / 0962 131 515",,spasausinh.vn,,https://spasausinh.vn/10-mam-com-o-cu-nha-lam-ngon-bo-duong-cho-me-sau-sinh-nhieu-sua-cho-con-bu/,Chưa liên hệ,
F - Dich vu do an cu,1,Moncare,"Trung tâm chăm sóc mẹ&bé (chưa xác nhận có tự nấu cơm cữ)","TP Bắc Ninh","0976 604 528 / 0982 192 913",,,facebook.com/Cham.soc.me.va.be.Moncare,https://www.facebook.com/Cham.soc.me.va.be.Moncare/,Chưa liên hệ,Gần Lạng Sơn nhất trong nhóm F
F - Dich vu do an cu,2,Phương Lê Care,"Trung tâm chăm sóc mẹ&bé","Đà Nẵng",0931 999 604,,,,https://drt.danang.vn/cham-soc-me-va-be-sau-sinh-da-nang/,Chưa liên hệ,
F - Dich vu do an cu,2,Spa Tuệ San,"Trung tâm chăm sóc mẹ&bé","Liên Chiểu, Đà Nẵng",0393 364 128,,,,https://drt.danang.vn/cham-soc-me-va-be-sau-sinh-da-nang/,Chưa liên hệ,
F - Dich vu do an cu,2,Baby Shark Spa,"Trung tâm chăm sóc mẹ&bé","Hải Châu, Đà Nẵng",0934 710 750,,babysharkspa.vn,facebook.com/babysharkspa.danang,https://www.facebook.com/babysharkspa.danang/,Chưa liên hệ,
F - Dich vu do an cu,2,Happy Mom,"Trung tâm chăm sóc mẹ&bé","Cẩm Lệ, Đà Nẵng",0982 198 179,,,,https://drt.danang.vn/cham-soc-me-va-be-sau-sinh-da-nang/,Chưa liên hệ,
F - Dich vu do an cu,2,RESTA - Cơm ở cữ dinh dưỡng,"Dịch vụ cơm cữ chuyên biệt","Hà Nội",,,,"facebook.com/p/RESTA-Cơm-ở-cữ-dinh-dưỡng-61563327641921",https://www.facebook.com/p/RESTA-C%C6%A1m-%E1%BB%9F-c%E1%BB%AF-dinh-d%C6%B0%E1%BB%A1ng-61563327641921/,Chưa liên hệ,Vẫn chưa tìm được SĐT dù đã thử nhiều cụm từ tìm kiếm - chỉ liên hệ được qua Facebook
G - My pham thien nhien (tham do),1,BỘT MẶT NẠ THIÊN NHIÊN,"Chuyên bột đắp mặt, chục loại, chưa có sắn dây, có chương trình đại lý","Tân Bình, TP.HCM",094 350 0011,botmatna@gmail.com,botmatna.com,,http://www.botmatna.com/,Chưa liên hệ,Chưa có sắn dây trong danh mục - khoảng trống
G - My pham thien nhien (tham do),1,Hoa & Cỏ Handmade,"Phân phối nguyên liệu bột thô cho cộng đồng làm mỹ phẩm handmade, chưa có sắn dây","Q6, TP.HCM","090 666 6576 / 090 985 6576",hoacowith@gmail.com,nguyenlieulamsoap.com.vn,,https://nguyenlieulamsoap.com.vn/bot-thao-moc/,Chưa liên hệ,Bán sỉ 1 lần họ tự phân phối tiếp
G - My pham thien nhien (tham do),2,Cỏ Mềm HomeLab,"Thương hiệu lớn chuẩn CGMP-ASEAN, có sản phẩm bột rửa mặt","Có cửa hàng ngay tại TP Lạng Sơn (101-103 Trần Đăng Ninh)",1800.646.890,,comem.vn,facebook.com/comemhomelab,https://comem.vn/dia-chi-cua-hang/co-mem-lang-son,Chưa liên hệ,Đáng ghé trực tiếp vì ở gần
G - My pham thien nhien (tham do),3,Milaganics (cty mẹ Stella Kinetics),"Thương hiệu lớn, phân phối Guardian/Hasaki/Con Cưng, chưa có sắn dây","9/11 Nguyễn Huy Tưởng, P. Gia Định, TP.HCM",098 349 3939,info@stellakinetics.com,stellakinetics.com,,https://stellakinetics.com/en/,Chưa liên hệ,Trang có xác nhận hỗ trợ B2B/nguyên liệu/phân phối cho đối tác
H - Khach san/buffet lon,3,Sheraton Saigon Hotel (Saigon Café),"Buffet ẩm thực Việt tối thứ 7 hàng tháng, quầy tráng miệng có chè đậu xanh/mủ gòn","88 Đồng Khởi, Q.1, TP.HCM",(08) 3827 2828,,,,https://thanhnien.vn/kham-pha-buffet-am-thuc-viet-tai-sheraton-sai-gon-vao-moi-toi-thu-bay-trong-thang-9-185381107.htm,Chưa liên hệ,Chỉ có tổng đài chung - cần hỏi thẳng bộ phận Purchasing
H - Khach san/buffet lon,3,Sahul Hotel Hà Nội (Buffet Sen Việt),"Quầy truyền thống riêng nhiều món Việt, có bánh đúc, chè","684 Minh Khai, Hai Bà Trưng, Hà Nội",,,,,https://pasgo.vn/blog/bat-mi-nhung-nha-hang-buffet-ngon-tai-khach-san-ha-noi-1264,Chưa liên hệ,
H - Khach san/buffet lon,3,Vinpearl Nha Trang (Coral/Lotus),"Buffet 40+ món truyền thống Việt, khối lượng khách rất lớn","Nha Trang",,,,,https://vinwonders.com/vi/wonderpedia/news/buffet-vinpearl-nha-trang/,Chưa liên hệ,Chỉ có tổng đài đặt phòng
H - Khach san/buffet lon,3,JW Marriott Hotel Hanoi (JW Café),"Khu ẩm thực Việt riêng + quầy tráng miệng đa dạng","8 Đỗ Đức Dục, Nam Từ Liêm, Hà Nội",,,,,https://dodungbuffet.com.vn/top-10-buffet-khach-san-sang-trong-tai-ha-noi.html,Chưa liên hệ,
H - Khach san/buffet lon,3,Pan Pacific Hanoi (Pacifica),"Buffet Á-Âu có món Việt truyền thống + quầy tráng miệng lớn","1 Thanh Niên, Ba Đình, Hà Nội",,,,,https://dodungbuffet.com.vn/top-10-buffet-khach-san-sang-trong-tai-ha-noi.html,Chưa liên hệ,
H - Khach san/buffet lon,3,Melia Hanoi (El Patio),"Buffet món Việt (bún chả, nem cua bể, xôi vò) + quầy bánh ngọt","44B Lý Thường Kiệt, Hoàn Kiếm, Hà Nội",,,,,https://dodungbuffet.com.vn/top-10-buffet-khach-san-sang-trong-tai-ha-noi.html,Chưa liên hệ,
H - Khach san/buffet lon,4,InterContinental Hanoi Westlake (Milan-Saigon),"Tên nhà hàng gợi ý tuyến món Việt - chưa xác nhận cụ thể có chè","5 Từ Hoa, Tây Hồ, Hà Nội",,,,,https://dodungbuffet.com.vn/top-10-buffet-khach-san-sang-trong-tai-ha-noi.html,Chưa liên hệ,Chưa xác nhận có chè
I - Dac san/OCOP tai Lang Son,0,Cửa hàng OCOP (Minh Phát Lạng Sơn),"Trưng bày 200 sản phẩm OCOP, khách gồm cả người Đài Loan/Quảng Tây (TQ)","211 Trần Đăng Ninh, P. Tam Thanh, TP Lạng Sơn",,,,,https://baolangson.vn/quan-tam-phat-trien-cac-diem-gioi-thieu-va-ban-san-pham-ocop-1595528.html,Chưa liên hệ,Đi cùng buổi với 115 Trần Đăng Ninh
I - Dac san/OCOP tai Lang Son,0,Cửa hàng OCOP (Cty An Gia),"Đã bán tinh bột nghệ - thị trường tinh bột đặc sản làm quà đã có khách quen","115 Trần Đăng Ninh, P. Tam Thanh, TP Lạng Sơn",,,,,https://langsontv.vn/news/475/12486/khai-truong-cua-hang-ocop-tai-thanh-pho-lang-son,Chưa liên hệ,Ưu tiên cao nhất - sản phẩm liền mạch có sẵn
I - Dac san/OCOP tai Lang Son,0,Cửa hàng OCOP huyện Văn Lãng (chủ Chu Thị Hạnh),"Doanh thu công bố >400 triệu/nửa năm","Số 64 khu 2, TT Na Sầm, huyện Văn Lãng",,,,,https://baolangson.vn/quan-tam-phat-trien-cac-diem-gioi-thieu-va-ban-san-pham-ocop-1595528.html,Chưa liên hệ,
I - Dac san/OCOP tai Lang Son,1,Chợ Đông Kinh,"Chợ lớn nhất tỉnh, nhiều quầy bán đặc sản làm quà","Trung tâm TP Lạng Sơn",,,,,https://muaban.net/blog/dac-san-lang-son-279618/,Chưa liên hệ,Cần đến trực tiếp chọn quầy
I - Dac san/OCOP tai Lang Son,1,Chợ Kỳ Lừa,"Chợ nổi tiếng nhất với du khách, bán buôn lẫn bán lẻ","P. Hoàng Văn Thụ, TP Lạng Sơn",,,,,https://mytour.vn/vi/blog/bai-viet/cho-ky-lua-lang-son-kham-pha-net-doc-dao-cua-cho-vung-cao.html,Chưa liên hệ,Cần khảo sát thực địa
I - Dac san/OCOP tai Lang Son,1,Chợ Giếng Vuông (chợ đêm nông sản),"Chợ đầu mối nông sản-đặc sản, họp 1h-5h sáng, hàng trăm tiểu thương","Đường Bắc Sơn, P. Hoàng Văn Thụ, TP Lạng Sơn",,,,,https://baolangson.vn/tap-nap-cho-dem-gieng-vuong-1593846.html,Chưa liên hệ,Cần đến trực tiếp ban đêm
I - Dac san/OCOP tai Lang Son,1,Chợ Đồng Đăng (chợ biên giới),"Chợ biên mậu sôi động nhất, khách Trung Quốc dễ tiếp cận trực tiếp","TT Đồng Đăng, huyện Cao Lộc",,,,,https://mia.vn/cam-nang-du-lich/cho-dong-dang-lang-son-18955,Chưa liên hệ,Cần khảo sát trực tiếp các quầy
I - Dac san/OCOP tai Lang Son,2,Sở Nông nghiệp và Môi trường tỉnh Lạng Sơn,"Đầu mối OCOP cấp tỉnh - không phải khách mua trực tiếp, nhưng có OCOP sẽ vào tầm ngắm 10 điểm bán toàn tỉnh","118 đường Ba Sơn, P. Tam Thanh, TP Lạng Sơn",02053.870.353 / 02053.876.948,snnmtlangson@gmail.com,ocop.langson.gov.vn,,https://ocop.langson.gov.vn/,Chưa liên hệ,Hỏi thủ tục đăng ký OCOP
J - Cua hang thuc pham sach/huu co,,Nong San Ngon,"Chi hop tac nha cung cap uy tin, chuyen rau/thuc pham sach","224B Hoang Ngan, Trung Hoa, Cau Giay, Ha Noi",04.38.56.8888,,,,ket qua tim kiem 2026-09-02,,Can mang mau + minh chung nguon goc ro khi lien he
J - Cua hang thuc pham sach/huu co,,CleverFood,Cua hang thuc pham sach,"Lien ke 7 Trang An Complex, Ha Noi",096 224 3863,,,,ket qua tim kiem 2026-09-02,,"Chua xac minh quy mo, can goi hoi truc tiep"
J - Cua hang thuc pham sach/huu co,,Soi Bien,Chuoi 37 cua hang thuc pham sach tai Ha Noi,Ha Noi (37 chi nhanh),1900636326,contact@soibien.vn,soibien.vn,,soibien.vn 2026-09-02,,"Dung hotline chung hoi quy trinh nha cung cap, KHONG goi so cua hang le (do la so nhan don COD)"
E - B2C kieu bao (co the thu truoc Nhom D),,Cho Viet 93 (choviet93.fr),"Cua hang tap hoa Viet tai Phap, co muc hang kho rieng","93290 Tremblay-en-France, Phap",+33 7.6666.3338,linna@choviet93.fr,choviet93.fr,,"choviet93.fr, xac minh 2026-09-02",,"Zalo/WhatsApp +33769553489 - lead cu the dau tien o Phap, dung duoc ngay nhu 3 shop Nhat"
